train_environments,train_monitors,test_environments,test_monitors,final_loss,final_accuracy
Classroom,m1,Classroom,m1,0.14129063487052917,0.9653510451316833
Classroom,m1,Classroom,m2,11.805789947509766,0.05519067868590355
Classroom,m1,Classroom,m3,11.811633110046387,0.08760245889425278
Classroom,m1,Office,m1,14.996040344238281,0.05509525164961815
Classroom,m1,Office,m2,18.57304573059082,0.056224383413791656
Classroom,m1,Office,m3,12.35759449005127,0.05745087191462517
Classroom,m2,Classroom,m1,40.302886962890625,0.08289366960525513
Classroom,m2,Classroom,m2,0.12391906976699829,0.9605932235717773
Classroom,m2,Classroom,m3,32.196170806884766,0.09805327653884888
Classroom,m2,Office,m1,37.39453887939453,0.05930323526263237
Classroom,m2,Office,m2,19.322887420654297,0.04575435444712639
Classroom,m2,Office,m3,20.024993896484375,0.07331468164920807
Classroom,m3,Classroom,m1,26.01693344116211,0.12753652036190033
Classroom,m3,Classroom,m2,27.112773895263672,0.04120762646198273
Classroom,m3,Classroom,m3,0.06607668101787567,0.9796618819236755
Classroom,m3,Office,m1,28.500566482543945,0.034707725048065186
Classroom,m3,Office,m2,19.83328628540039,0.07930967956781387
Classroom,m3,Office,m3,15.752869606018066,0.045987989753484726
Office,m1,Classroom,m1,35.71162414550781,0.08913352340459824
Office,m1,Classroom,m2,26.653045654296875,0.0655190646648407
Office,m1,Classroom,m3,25.829530715942383,0.06444672495126724
Office,m1,Office,m1,0.0670347586274147,0.9836247563362122
Office,m1,Office,m2,32.63634490966797,0.0875704437494278
Office,m1,Office,m3,27.64444351196289,0.020708242431282997
Office,m2,Classroom,m1,74.01765441894531,0.035866476595401764
Office,m2,Classroom,m2,34.904685974121094,0.055031780153512955
Office,m2,Classroom,m3,56.383548736572266,0.03370901569724083
Office,m2,Office,m1,43.4210090637207,0.07701592147350311
Office,m2,Office,m2,0.23173463344573975,0.940477728843689
Office,m2,Office,m3,30.13104248046875,0.07652156054973602
Office,m3,Classroom,m1,44.49876022338867,0.04753449559211731
Office,m3,Classroom,m2,39.90250778198242,0.03320974484086037
Office,m3,Classroom,m3,52.64759063720703,0.03340163826942444
Office,m3,Office,m1,45.703731536865234,0.052355166524648666
Office,m3,Office,m2,29.29555892944336,0.05276639387011528
Office,m3,Office,m3,0.09476065635681152,0.9692617654800415
Classroom,m1m2m3,Classroom,m1,0.1286427080631256,0.9762073755264282
Classroom,m1m2m3,Classroom,m2,0.12452242523431778,0.9665783643722534
Classroom,m1m2m3,Classroom,m3,0.12051673233509064,0.9663422107696533
Classroom,m1m2m3,Office,m1,33.88324737548828,0.034185804426670074
Classroom,m1m2m3,Office,m2,20.965463638305664,0.05343877896666527
Classroom,m1m2m3,Office,m3,19.926555633544922,0.05625682324171066
Office,m1m2m3,Classroom,m1,43.99277877807617,0.02835836075246334
Office,m1m2m3,Classroom,m2,27.067251205444336,0.10990466177463531
Office,m1m2m3,Classroom,m3,27.99404525756836,0.007377048954367638
Office,m1m2m3,Office,m1,0.14381663501262665,0.9698264598846436
Office,m1m2m3,Office,m2,0.2647114098072052,0.9253650307655334
Office,m1m2m3,Office,m3,0.09720499068498611,0.9685794115066528
ClassroomOffice,m1m2m3,Classroom,m1,0.12411203980445862,0.9732142686843872
ClassroomOffice,m1m2m3,Classroom,m2,0.1279105693101883,0.9625529646873474
ClassroomOffice,m1m2m3,Classroom,m3,0.3170722424983978,0.9454405903816223
ClassroomOffice,m1m2m3,Office,m1,0.32561057806015015,0.956484854221344
ClassroomOffice,m1m2m3,Office,m2,0.2536149322986603,0.9330494403839111
ClassroomOffice,m1m2m3,Office,m3,0.18353459239006042,0.9523062109947205
